"Station";"Net";"Municipality";"Lat (N)";"Lon (E)";"Elev (m)";"EC8/NTC topographic category";"NTC08 soil category";"NTC18 soil category";"Reference"
"BULG";"IV";"Bulgheria_Camerota";"40.0783";"15.3776";"815";"T4**";"A*";"missing";"none"
"BURY";"GU";"Ventimiglia";"43.7825";"7.5568";"20";"T1*";"A*";"missing";"none"
"CADA";"IV";"Capodarco";"43.1942";"13.7614";"148";"T1*";"B*";"missing";"none"
"CADC";"IV";"Capriano_del_Colle";"45.4555";"10.1287";"106";"T1";"C**";"missing";"none"
"CAFE";"IV";"Carife";"41.0280";"15.2366";"1070";"T2**";"A*";"missing";"none"
"CAFI";"IV";"Castiglion_Fiorentino";"43.3292";"11.9663";"547";"T2*";"B*";"missing";"none"
"CAPA";"IV";"Cerignola";"41.1582";"15.8169";"156";"T1*";"B*";"missing";"none"
"CAPR";"IV";"Capriolo";"45.6372";"9.9345";"215";"T1";"B**";"missing";"none"
"CAR1";"IV";"Carolei";"39.2534";"16.2114";"680";"T2*";"B*";"missing";"none"
"CARE";"ST";"Lago_Careser";"46.4252";"10.6945";"2605";"T2*";"A**";"missing";"none"
"CDCA";"IV";"Citta_Castello";"43.4584";"12.2336";"50";"T1";"C";"C";"none"
"CEL";"MN";"Celeste";"38.2603";"15.8939";"702";"T2*";"B*";"missing";"none"
"CELI";"IV";"Lago_Cecita";"39.4027";"16.5088";"1290";"T1*";"B*";"missing";"none"
"CERA";"IV";"Filignano";"41.5978";"14.0183";"800";"T1*";"A*";"missing";"none"
"CESI";"IV";"Cesi-Serravalle-di-Chienti";"43.0049";"12.9046";"840";"missing";"D*";"missing";"none"
"CGG3";"IX";"Caggiano";"40.5420";"15.5225";"1067";"T1*";"B*";"missing";"none"
"CGRP";"OX";"Cima_Grappa";"45.8806";"11.8047";"1757";"T3**";"A*";"missing";"none"
"CIMA";"IV";"Civitanova_Marche";"43.3052";"13.6700";"163";"T1*";"B";"B";"WG_INGV_DPC-B2_2018(See full reference)"
"CIMO";"OX";"Cimolais";"46.3116";"12.4448";"710";"T1*";"B**";"missing";"none"
"CLT3";"IX";"Calitri";"40.9030";"15.4043";"525";"T3*";"B**";"missing";"none"
"CLUD";"OX";"Cludinico";"46.4569";"12.8814";"635";"T2*";"A*";"missing";"none"
"CMP3";"IX";"Campagna";"40.6519";"15.0802";"958";"T4**";"B*";"missing";"none"
"CMPO";"IV";"Campotto_Po";"44.5808";"11.8056";"2";"T1";"D";"D";"WG_INGV_DPC-B2_2016(See full reference)"
"CNCS";"IV";"Concesio";"45.6060";"10.2170";"126";"T1";"B**";"missing";"none"
"COL3";"IX";"Colliano";"40.6871";"15.3304";"1026";"T2*";"B*";"missing";"none"
"COR1";"IV";"Corinaldo";"43.6318";"13.0003";"237";"T1";"B*";"missing";"none"
"CPGN";"IV";"Carpegna";"43.8011";"12.3205";"1400";"T2**";"B*";"missing";"none"
"CRM1";"IV";"Castel_Raimondo";"43.2100";"13.0580";"302";"T1";"C*";"missing";"none"
"CRMI";"IV";"Carmignano";"43.7955";"10.9795";"490";"T2*";"B*";"missing";"none"
"CRND";"IV";"Cornuda";"45.8361";"12.0131";"159";"T1";"B**";"missing";"none"
"CROCE";"IV";"Santa_Croce-Camerina";"36.8326";"14.5345";"112";"T1";"A*";"missing";"none"
"CRTC";"IV";"Cartoceto";"43.7684";"12.8830";"197";"missing";"B*";"missing";"none"
"CSG3";"IX";"Toppo_Castelgrande";"40.8181";"15.4633";"1253";"T1";"B*";"missing";"none"
"CSO1";"IT";"Carsoli_1";"42.1009";"13.0880";"680";"T2";"B*";"missing";"none"
"CTL8";"IV";"Castelleone";"45.2763";"9.7622";"66";"T1";"C";"C";"Mascandola_et_al_2016(See full reference)"
"CUC";"MN";"Castrocucco";"39.9938";"15.8155";"637";"T3";"A*";"missing";"none"
"DANT";"IT";"Danta_di_Cadore";"46.5675";"12.5199";"1453";"T1";"B*";"missing";"none"
"DOSS";"ST";"Dosso_Sommo";"45.8808";"11.1884";"1660";"T3*";"A**";"missing";"none"
"DRE";"OX";"Drenchia";"46.1729";"13.6432";"810";"T3*";"B*";"missing";"none"
"ECHR";"IV";"Biancavilla";"37.6863";"14.9129";"1171";"T1*";"A*";"missing";"none"
"EMCN";"IV";"Monte_Conca";"37.7912";"15.0336";"1916";"T1*";"A*";"missing";"none"
"ENIC";"IV";"Nicolisi";"37.6314";"15.0216";"886";"T1*";"A*";"missing";"none"
"EPIT";"IV";"Pozzo_Pitarrone";"37.8114";"15.0568";"1637";"T1*";"A*";"missing";"none"
"EPOZ";"IV";"Pozzillo";"37.6719";"15.1885";"121";"T1";"B**";"missing";"none"
"EUCT";"IV";"Pavia";"45.2026";"9.1349";"82";"T1";"C";"C";"WG_INGV_DPC-B2_2017(See full reference)"
"EVRN";"IV";"Santa_Venerina";"37.6892";"15.1356";"421";"T1";"B**";"missing";"none"
"FAEN";"IV";"Faenza";"44.2895";"11.8770";"41";"T1";"C*";"missing";"none"
"FANO";"IV";"Fano";"43.8434";"13.0183";"15";"T1";"C*";"missing";"none"
"FAVR";"IV";"Favara";"37.2671";"13.6670";"289";"T3*";"B*";"missing";"none"
"FAZ";"IT";"Faenza";"44.2980";"11.8907";"72";"T1";"C";"missing";"none"
"FCOR";"IV";"Fonte_Corniale";"43.7691";"12.8145";"555";"T3";"A*";"missing";"none"
"FDS";"IT";"Forni_di_Sopra";"46.4513";"12.5627";"1795";"missing";"A**";"missing";"none"
"FEMA";"IV";"Monte_Fema";"42.9621";"13.0497";"1370";"T2*";"B*";"missing";"none"
"FERC";"IV";"Galatro";"38.4527";"16.1280";"460";"T2*";"B*";"missing";"none"
"FERS";"IV";"Casaglia";"44.9035";"11.5406";"3";"T1";"C";"C";"Laurenzano_et_al_2013(See full reference)"
"FIAM";"IV";"Fiamignano";"42.2680";"13.1171";"1070";"T2*";"A*";"missing";"none"
"FIE";"IT";"Fiesole";"43.8072";"11.2944";"348";"T1";"B*";"missing";"none"
"FIR";"IV";"Firenze";"43.7743";"11.2551";"40";"T1";"C**";"missing";"none"
"FIU1";"IV";"Fiuminata";"43.1885";"12.9316";"479";"T1*";"B**";"missing";"none"
"FIVI";"GU";"Fivizzano";"44.2393";"10.1273";"380";"T2**";"B";"B";"Regione Toscana, VEL Project(See full reference)"
"FOPC";"IT";"Foligno";"42.9697";"12.7031";"300";"T1";"C**";"missing";"none"
"FOSD";"GU";"Fosdinovo";"44.1076";"9.9971";"560";"T1";"C*";"missing";"none"
"FOSV";"IV";"Fossato_di_Vico";"43.2948";"12.7611";"559";"T2*";"B*";"missing";"none"
"FRE8";"IV";"Fregona";"46.0156";"12.3551";"545";"T3**";"A*";"missing";"none"
"FREG";"IV";"Fregona";"46.0110";"12.3129";"500";"missing";"A*";"missing";"none"
"FUSE";"OX";"Fusea";"46.4142";"13.0011";"520";"T2*";"B*";"missing";"none"
"GAG1";"IV";"Gagliole";"43.2380";"13.0674";"484";"T3*";"B*";"missing";"none"
"GAGG";"ST";"Gaggia";"46.0835";"10.9587";"1617";"T4**";"A*";"missing";"none"
"GALF";"IV";"Gagliano_Castelferrato";"37.7107";"14.5665";"740";"T1*";"A*";"missing";"none"
"GATE";"IV";"Gambatesa";"41.5131";"14.9102";"487";"T3*";"B*";"missing";"none"
"GAVE";"IV";"Gavelli";"42.6922";"12.8942";"1161";"T2*";"A*";"missing";"none"
"GDFR";"IT";"Guardialfiera";"41.8034";"14.7971";"299";"missing";"B*";"missing";"none"
"GEA";"IT";"Gela";"37.0562";"14.3146";"62";"T1";"C";"missing";"none"
"GLNS";"IT";"Guglionesi";"41.9120";"14.9182";"346";"missing";"B*";"missing";"none"
"GNU";"IT";"Giano_Umbria";"42.8038";"12.5702";"1085";"T1";"A*";"missing";"none"
"GNV";"IT";"Genova";"44.4317";"8.9320";"419";"T1";"A";"missing";"none"
"GRIS";"IV";"Grisolia";"39.7405";"15.8531";"551";"T2**";"A*";"missing";"none"
"GUAR";"IV";"Guarcino";"41.7945";"13.3122";"741";"T3*";"A*";"missing";"none"
"GUMA";"IV";"Gualdo_Macerata";"43.0627";"13.3335";"574";"T1*";"B*";"missing";"none"
"HLNI";"IV";"Lentini";"37.3485";"14.8720";"149";"T1*";"C*";"missing";"none"
"HMDC";"IV";"Modica";"36.9590";"14.7831";"595";"missing";"A*";"missing";"none"
"HVZN";"IV";"Vizzini";"37.1783";"14.7155";"790";"T1*";"A*";"missing";"none"
"IACL";"IV";"Alicudi";"38.5339";"14.3565";"165";"T2*";"A*";"missing";"none"
"IBCM";"IV";"Ischia";"40.7108";"13.9161";"314";"missing";"B*";"missing";"none"
"ILLI";"IV";"Lipari";"38.4457";"14.9483";"284";"T3*";"A*";"missing";"none"
"ILOS";"IV";"Lipari";"38.4457";"14.9483";"284";"T3*";"A*";"missing";"none"
"IMOL";"IV";"Imola";"44.3595";"11.7424";"27";"T1";"C*";"missing";"none"
"INTR";"IV";"Introdacqua";"42.0115";"13.9046";"924";"T3";"A*";"missing";"none"
"ISPIC";"IV";"Ispica";"36.7804";"14.9033";"260";"T1";"A*";"missing";"none"
"IVPL";"IV";"Vulcano_Piano";"38.3763";"14.9801";"486";"T2**";"B*";"missing";"none"
"JOPP";"IV";"Joppolo";"38.6068";"15.8856";"500";"T1*";"A**";"missing";"none"
"LAV9";"IV";"Lanuvio";"41.6777";"12.6988";"300";"T2*";"C";"C";"none"
"LEC";"IT";"Lecco";"45.8612";"9.4122";"231";"T1";"B*";"missing";"none"
"LEOD";"IV";"Capriano_Colle";"45.4582";"10.1234";"93";"T1";"C**";"missing";"none"
"LGS3";"IX";"Luogosano";"40.9865";"14.9906";"413";"T1";"B**";"missing";"none"
"LIO3";"IX";"Lioni";"40.8969";"15.1804";"737";"T1*";"B*";"missing";"none"
"LNSS";"IV";"Leonessa";"42.6028";"13.0403";"1155";"T3*";"B*";"missing";"none"
"LNT";"IT";"Lentini";"37.2884";"15.0022";"117";"T1";"A";"missing";"none"
"LPEL";"IV";"Lama_dei_Peligni";"42.0468";"14.1832";"760";"T1*";"A*";"missing";"none"
"LRNO";"IT";"Larino";"41.8066";"14.9201";"409";"missing";"B*";"missing";"none"
"LTRZ";"IV";"Laterza";"40.6032";"16.8191";"381";"T1";"B*";"missing";"none"
"MAON";"IV";"Monte_Argentario";"42.4282";"11.1309";"237";"T3*";"A*";"missing";"none"
"MARN";"OX";"Marana";"45.6378";"11.2099";"785";"T2*";"B*";"missing";"none"
"MBAL";"IV";"Novezzina";"45.6975";"10.8589";"1215";"T2*";"A**";"missing";"none"
"MBFT";"IV";"Monte_Bonifato";"37.9461";"12.9534";"520";"T3*";"A*";"missing";"none"
"MCEL";"IV";"Monticello";"40.3249";"15.8019";"960";"T3*";"A*";"missing";"none"
"MCIF";"IV";"Montecalvo_Foglia";"43.8115";"12.6316";"330";"T3*";"B*";"missing";"none"
"MCLF";"IT";"Montecilfone";"41.9016";"14.8374";"397";"missing";"B*";"missing";"none"
"MDAR";"IV";"Monte_Daria";"43.1927";"13.1427";"940";"T3**";"B*";"missing";"none"
