"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
		"n"	"MALDIVES"		"LAGUNA BEACH RESORT, SOUTH MALE"	4.123	73.438	2491.626									1.38		5														
		"n"	"MALDIVES"		"FANADHOO, LAAMU"	1.835	73.505	2490.671									3.22		5														
		"n"	"MALDIVES"		"FANADHOO, LAAMU"	1.849	73.511	2489.892									3.03		5														
		"n"	"MALDIVES"		"GAN, LAAMU"	1.921	73.549	2485.103									2.41		5														
		"n"	"MALDIVES"		"MANNDHOO, LAAMU"	1.876	73.526	2488.01									1.4		5														
		"n"	"MALDIVES"		"GAN, SEENU"	0.69	73.157	2541.486									1.79		5														
		"n"	"MALDIVES"		"MARADHOO, SEENU"	0.661	73.116	2546.402									1.98		5														
		"n"	"SRI LANKA"		"PAIYAGALA STATION"	6.522	79.978	1795.908									5.95		5														
		"n"	"INDONESIA"		"ALL OF INDONESIA"												50.9		5			167540	4					4451.6	4	141000	4		
		"n"	"MALAYSIA"		"KAMPUNG PAYA"	5.611	100.341	558.893									2.5	70	4														
		"n"	"MALAYSIA"		"PELANGI BEACH HOTEL, LANGKAWI"	6.301	99.72	541.141									1.5		4														
		"n"	"TANZANIA"		"ALL OF TANZANIA"												3.5		5			13	1										
		"n"	"MAURITIUS"		"RODRIGUES ISLAND, PORT MATHURIN"	-19.68024	63.42119	4364.964	26	6	40	5	41						2												1		
		"n"	"INDIA"	"TAMIL NADU"	"COVELONG BEACH (SOUTH)"	12.79111111	80.2525	2012.008										75	5														
		"n"	"INDIA"	"TAMIL NADU"	"MANAKUDY VILLAGE"	8.09	77.4875	2101.211										1500	5														
		"n"	"INDIA"	"TAMIL NADU"	"BESANT NAGAR (ELLIOTS BEACH)"	12.99638889	80.27055556	2021.792									2.76	200	5														
		"n"	"INDIA"	"TAMIL NADU"	"KORAIKUPPARN"	13.38138889	80.33416667	2037.95									3.2	200	5														
		"n"	"INDIA"	"TAMIL NADU"	"TIRUVANMIYUR BEACH"	12.97083333	80.265	2020.871									3.65	100	5														
		"n"	"INDIA"	"TAMIL NADU"	"AKKARAIPETTAI"	10.74277778	79.84944444	1948.508									4.02	500	5														
		"n"	"INDIA"	"TAMIL NADU"	"KAVERIPOOMPATTINAM"	11.14333333	79.85666667	1966.055									5.72	1000	5														
		"n"	"INDIA"	"TAMIL NADU"	"VENPURASHAM (NEAR MAMALLAPURAM)"	12.59833333	80.19083333	2007.237									5.74	200	5														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.456	95.245	246.107									25.05		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.315	254.5									5.35		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.551	95.304	254.575									6.26		4														
		"n"	"CANADA"	"BC"	"TOFINO (CLAYOQUOT),BRITISH COLUMBIA"	49.153	-125.913	12943.412	27	9	0	32	1				0.08		2														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.549	95.306	254.307									6.43		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.551	95.307	254.495									5.87		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.547	95.278	254.854									7.68		4														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.458	95.247	246.259									34.85		5														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.46	95.246	246.502									31.91		5														
		"n"	"CHILE"	"IQUIQUE"	"IQUIQUE"	-20.20457778	-70.14783056	17608.276	27	3	35	26	36				0.12		2														
		"n"	"AUSTRALIA"		"ROSSLYN BAY"	-23.161	150.79	6638.25									0.25		2														
		"n"	"NEW ZEALAND"		"MOTURIKI ISLAND"	-37.6304	176.186	9386.625									0.16		2														
		"n"	"USA"	"AK"	"ADAK, SWEEPER COVE, AK"	51.863	-176.632	9549.21	27	12	0						0.11		2														
		"n"	"USA"	"CA"	"POINT REYES, CA"	37.997	-122.975	13940.319									0.2		2	33													
		"n"	"USA"	"CA"	"SANTA MONICA, CA"	34.008	-118.5	14535.34	27	11	23	34	24				0.19		2														
		"n"	"CHILE"	"ANTOFAGASTA"	"ANTOFAGASTA"	-23.65	-70.404	17321.064	27	3	25	26	26				0.14		2														
		"n"	"INDIA"	"KERALA"	"KOCHI, KERALA"	9.97	76.27	2285.823	26	5	41	4	42				0.75		2		"R"												
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.443	95.24	244.879									19.96		5														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.548	95.313	254.015									5.55		4														
		"n"	"INDONESIA"	"ACEH"	"BANDA ACEH"	5.57569444	95.34505556	256.184									3.55		5														
		"n"	"THAILAND"	"PHANG NGA"	"NAM KHEM"	8.86355556	98.27322222	669.349									4.2		5														
		"n"	"THAILAND"	"PHANG NGA"	"NAM KHEM"	8.81330556	98.26622222	663.953									5.12		5														
		"n"	"MALDIVES"		"LAAMU ATOLL, GAN IS."	1.942	73.544	2485.496									2		4														
		"n"	"INDIA"	"TAMIL NADU"	"KANNIYAKUMARI, KOLACHEL"	8.17	77.24	2129.799											1			300	3										
		"n"	"INDIA"	"TAMIL NADU"	"KALAPAKKOM"	12.50663333	80.15825	2005.361									2.34		5														
		"n"	"INDIA"	"TAMIL NADU"	"DEVANAANPATTINAM"	11.74953333	79.78888333	2001.817									2.19	160	5														
		"n"	"INDIA"	"TAMIL NADU"	"TARANGAMBADI"	11.027	79.85583333	1960.748									4.4	400	5														
		"n"	"INDIA"	"TAMIL NADU"	"ARCATTUTHURAI/VEDARAYAN"	10.39328333	79.8669	1931.479									3.36		5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"SOUTH ANDAMAN"	11.49745	92.7062	969.15									6.11		5														
		"n"	"SRI LANKA"		"TRINCOMALEE"	8.561729	81.24202	1718.191									2.7		4														
		"n"	"SRI LANKA"		"TRINCOMALEE"	8.561729	81.24202	1718.191									5.9		4														
		"n"	"SRI LANKA"		"KATTATIVU"	7.68633	81.74025	1636.513									3.7		4														
		"n"	"SRI LANKA"		"KARATIVU"	7.364405	81.85432	1614.66									4.85		4														
		"n"	"SRI LANKA"		"MORATUWA"	6.76245	79.88353	1811.234									3.56		4														
		"n"	"SRI LANKA"		"PANADURA"	6.715483	79.90334	1808.069									4.24		5														
		"n"	"SRI LANKA"		"BOOSA"	6.04776	80.09014	1774.702									1.5	30	5										1		1		
		"n"	"SRI LANKA"		"TELWATTE"	6.11096	80.04268	1781.004										108	5														1
		"n"	"MAURITIUS"		"PORT MATHURIN, RODRIGUES"	-19.6795	63.4239	4364.68									1.64	85	5														
		"n"	"MAURITIUS"		"GRAND BAIE, RODRIGUES"	-19.6738	63.4492	4362.098									2.15		4														
		"n"	"MAURITIUS"		"COTTON BAY, RODRIGUES"	-19.6852	63.4963	4358.588									1.9		5														
		"n"	"MAURITIUS"		"SAINT-FRANCOIS, RODRIGUES"	-19.7026	63.4959	4359.65									2.7		4														
		"n"	"REUNION (FRENCH TERRITORY)"		"SAINTE-ROSE"	-21.1256	55.7869	5137.261									1.95		4														
		"n"	"INDIA"	"KERALA"	"ERNAKULAM"	9.98	76.28	2285.109									2.4	1000	5														
		"n"	"YEMEN"		"HAMHARITEN"	12.60813	54.31507	4686.505									1.69	30.1	5														
		"n"	"YEMEN"		"GHEBBAT"	12.61031	53.78379	4743.562									0.84	64.5	4														
		"n"	"YEMEN"		"DAIHAM"	12.60909	53.85832	4735.54									1.93	14.3	5														
		"n"	"SRI LANKA"		"ABALANGODA"	6.246	80.047	1782.999									6		4														
		"n"	"THAILAND"		"BAN BANG PHNG"	8.812	98.266	663.811									13.1	9	4														
		"n"	"THAILAND"		"BAN THUNG DAP"	9.028	98.257	685.341									19.6	30	4														
		"n"	"INDONESIA"	"ACEH"	"PANTERAJA, SUMATRA"	5.2611	96.18528	218.211									4.7	1000	5										1				
		"n"	"INDIA"	"TAMIL NADU"	"NAGAPATTINAM"	10.77	79.83	1951.669									10	1000	4			6051	4										
		"n"	"INDIA"	"TAMIL NADU"	"CHENNAI"	13.08389	80.27	2026.793									2	200	5														
		"n"	"INDIA"	"KERALA"	"ERNAKULAM, EDAVANAKKAD"	10.015	76.22	2292.547											1			5	1							50	1	350	3
		"n"	"OMAN"		"RAYSUT"	16.963667	53.999783	4814.379									1.71	88	5														
		"n"	"OMAN"		"HADBEEN"	17.205833	55.233183	4693.468									1.55	12	5														
		"n"	"OMAN"		"HASIK"	17.422067	55.287217	4693.933									0.83	4	5														
		"n"	"OMAN"		"HADBEEN"	17.1963	55.2185	4694.717									0.13	82	5														
		"n"	"OMAN"		"RAKHYUT"	16.7449	53.417333	4869.239									2.62	59	5														
		"n"	"INDONESIA"	"ACEH"	"JANTANG, SUMATRA"	5.27622	95.25139	226.849									19.7	664.6	5														
		"n"	"INDONESIA"	"ACEH"	"LHOK KRUET, SUMATRA"	4.90034	95.40256	182.226									17.9	491.6	5														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"LHOK LEUPUNG, SUMATRA"	4.69137	95.53677	156.115									16.5	780.3	4														
		"n"	"OMAN"		"HAYTAM"	18.81316	56.92918	4569.139									1.3	25	5														
		"n"	"SOMALIA"		"EYL"	7.96542	49.84935	5119.604									6.36	226.7	5														
		"n"	"SOMALIA"		"FOAR"	10.31223	50.89717	5024.237									6.37	145.4	5														
		"n"	"SOMALIA"		"XAAFUUN"	10.4226	51.25969	4985.939									3.97	239.8	5														
		"n"	"MADAGASCAR"		"BENAREVIKA"	-14.1156	50.15953	5398.686									3.51	29	5														
		"n"	"MADAGASCAR"		"MAHAVELONA (FOUL POINTE)"	-17.68528	49.51823	5590.525									0.72	13	5														
		"n"	"INDONESIA"	"ACEH"	"KUALA MEURISI, SUMATRA"	4.6137	95.62491	145.737									13.5	644	4														
		"n"	"INDONESIA"	"ACEH"	"LANGI ISLAND, SUMATRA"	2.83054	95.76745	54.536									13.9	418.8	4														
		"n"	"SOUTH AFRICA"		"PORT ELIZABETH"	-33.96666	25.63333	8411.487	26	13	12	12	13				1.34		2		"R"												
		"n"	"MADAGASCAR"		"MANANJARY"	-21.26137	48.34547	5847.141									2.4	43	5														
		"n"	"MADAGASCAR"		"FARAFANGANA"	-22.80939	47.83716	5960.713									2.4	25	4														
		"n"	"MALDIVES"		"VILUFUSHI, THAA"	2.50322	73.30929	2507.999									2.77	74	4														
		"n"	"MALDIVES"		"VILUFUSHI, THAA"	2.50364	73.30961	2507.962									3.43	14	4														
		"n"	"MALDIVES"		"MADIFUSHI, THAA"	2.35608	73.3549	2503.723									2.56	82	4														
		"n"	"MALDIVES"		"KANDHOLHUDHOO, RAA"	5.6185	72.85565	2564.828									2.21	68	4														
		"n"	"MALDIVES"		"KANDHOLHUDHOO, RAA"	5.61768	72.85587	2564.796									2.66	60	4														
		"n"	"MALDIVES"		"KANDHOLHUDHOO, RAA"	5.61768	72.85587	2564.796									2.74	60	4														
		"n"	"MALDIVES"		"HINNAVARU, LHAVIYANI"	5.49373	73.41225	2502.242									1.15	263	4														
		"n"	"MALDIVES"		"HINNAVARU, LHAVIYANI"	5.49272	73.41178	2502.285									1.26	322	4														
		"n"	"MALDIVES"		"MALE, N. MALE"	4.17866	73.51416	2483.319									1.25	15	4														
		"n"	"MALDIVES"		"MALE, N. MALE"	4.1802	73.50963	2483.826									1.35		4														
		"n"	"TANZANIA"		"SILVER SANDS RESORT"	-6.65455	39.21232	6390.19									3.3		5														
		"n"	"TANZANIA"		"KIPEPEO BEACH, MAINLAND TANZANIA"	-6.85103	39.36145	6377.001									2.4		5			2	1										
		"n"	"COMOROS"		"NDROUDE, ILE DE LA TORTUE"	-11.41733	43.41175	6030.071									0.65		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.647	95.415	262.328									7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.61	95.397	258.693									11		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.61	95.397	258.693									11.2		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.382	95.256	237.907									12.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.633	95.4	261.123									13.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.441	95.239	244.698									17.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.442	95.241	244.742									18.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.442	95.241	244.742									18.4		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.468	95.242	247.474									21.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.314	95.241	231.181									23.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.46	95.246	246.502									24.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.562	95.344	254.733									3.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.566	95.327	255.589									4.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.631	95.404	260.821									5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.58	95.35	256.528									5.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.478	95.265	247.852									6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.573	95.342	255.968									6.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.579	95.351	256.396									6.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.575	95.341	256.208									7.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.574	95.345	256.002									7.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.593	95.371	257.436									8.1		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.48	95.267	248.007									8.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.489	95.265	249.026									9		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.521	95.271	252.27									9		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.605	95.389	258.327									9		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.607	95.396	258.39									9		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.597	95.385	257.55									9.3		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.578	95.343	256.483									9.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.56	95.317	255.2									9.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.497	95.262	249.967									9.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.594	95.371	257.544									9.5		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.55	95.304	254.467									10.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.544	95.295	254.065									11.9		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.5	95.233	251.151									12		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.473	95.255	247.615									13		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.502	95.229	251.486									14.4		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.479	95.242	248.644									16.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.547	95.236	256.063									18.9		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.546	95.234	256.016									19.3		5														
		"n"	"COMOROS"		"MIRINGONI, MOHELI"	-12.304	43.63465	6028.236									3.5		5														1
		"n"	"COMOROS"		"ACOUA, MAYOTTE"	-12.72528	45.05615	5889.077									2.4		5														
		"n"	"COMOROS"		"CHICONI, MAYOTTE"	-12.8364	45.11225	5886.168									2.45		5														
		"n"	"ARGENTINA"		"MAR DEL PLATA 2"	-38.035599	-57.531101	15310.608	27	0	9	23	10	27	6	42	0.3		2														
		"n"	"AUSTRALIA"		"KING BAY"	-20.64	116.755	3497.077	26	7	50	6	51	26	14	0	0.45		2														
		"n"	"SOUTH AFRICA"		"PORT NOLLOTH"	-29.25	16.87	9127.829	26	16	1	15	2	27	3	52	0.25		2		"R"												
		"n"	"USA"	"AK"	"SITKA, AK"	57.052	-135.342	11900.95	27	18	15	41	16				0.04		2	48													
		"n"	"THAILAND"		"KARON BEACH (CENTRAL PART), PHUKET"	7.842	98.297	568.977									4.49		5														
		"n"	"THAILAND"		"LEAM HIM, PHUKET"	7.943	98.401	584.288									0.72		5														
		"n"	"THAILAND"		"BANG RONG PIER, PHUKET"	8.047	98.419	595.322									1.47		5														
		"n"	"THAILAND"		"PATONG BEACH, PHUKET"	7.884	98.292	572.801									5.09		5														
		"n"	"THAILAND"		"NAI YANG BEACH, PHUKET"	8.087	98.3	593.074									4.07		5														
		"n"	"THAILAND"		"KHAO LAK"	8.637	98.251	645.473									8.71		5														
		"n"	"THAILAND"		"KHAO LAK"	8.683	98.244	649.793									10.62		5														
		"n"	"THAILAND"		"KHAO LAK"	8.304	98.275	613.282									4.28		5														
		"n"	"THAILAND"		"KATA NOI BEACH, PHUKET"	7.803	98.303	565.51									3.88		5														
		"n"	"THAILAND"		"RAWAI BEACH, PHUKET"	7.772	98.328	563.849									2.43		5														
		"n"	"INDONESIA"	"ACEH"	"WEST BANDA ACEH, SUMATRA"	5.564	95.235	257.904									12.6		5														
		"n"	"MALDIVES"		"NORTH MALE ATOLL, DHIFFUSHI IS."	4.444	73.714	2462.053									2.3	70	4														
		"n"	"MYANMAR (BURMA)"		"KYET LUT BEACH"	13.559	98.14	1160.442									1.9		5														
		"n"	"MYANMAR (BURMA)"		"TANNYOPADA VILLAGE"	10.093	98.515	805.086									1.7		5														
		"n"	"MYANMAR (BURMA)"		"KAING THAUNG ISLAND, PAGODA"	15.734	95.064	1376.264									1.9		5														
		"n"	"THAILAND"		"TRANG"	7.5	99.3	599.89	26	4	40	3	41				0.63		2		"F"												
		"n"	"SRI LANKA"		"GIN RIVER"	6.088	80.183	1765.265									1.75		5														
		"n"	"INDONESIA"	"ACEH"	"TANJUN RAYA, SIMEULUE"	2.565	96.288	96.043									1.9		4														
		"n"	"SRI LANKA"		"MARATUWA"	6.748	79.89	1810.218									5.5	70	4														
		"n"	"SRI LANKA"		"BENTOTA NORTH"	6.424	79.995	1792.09									5.5	130	4														
		"n"	"SRI LANKA"		"JAYADUWA/HABARADUWA"	5.994	80.309	1749.838									3		4														
		"n"	"THAILAND"		"KO KOH KAO PORT"	8.872	98.275	670.283									3.7	43	5														
		"n"	"THAILAND"		"BAN PAK NAM FISHERING PORT"	9.946	98.598	793.452									1.7	0	5														
		"n"	"THAILAND"		"KA YU HARBOR (BAN LA ONG)"	9.781	98.554	774.755									0.32		4														
		"n"	"THAILAND"		"RAMSON"	9.602	98.469	752.889									1.08		4														
		"n"	"SRI LANKA"		"KARATIVU"	7.384	81.848	1615.908									7		4														
		"n"	"SRI LANKA"		"KALMUNAI"	7.404	81.842	1617.136									6	35	4														
		"n"	"SRI LANKA"		"KALKUDAH"	7.919	81.566	1662.323									7	500	4														
		"n"	"SRI LANKA"		"CHINA BAY"	8.572	81.192	1723.769									3.2	10	4														
		"n"	"THAILAND"		"KURABURI"	9.23	98.38	711.198	26	3	32	2	33				0.7		2		"F"												
		"n"	"THAILAND"		"TARUTAO"	6.7	99.65	563.201	26	3	27	2	28				0.89		2		"F"												
		"n"	"INDIA"	"TAMIL NADU"	"KAMESHWARAM"	10.62416667	79.85388889	1942.81									6.64	600	5														
		"n"	"INDIA"	"TAMIL NADU"	"DEVANAMPATTINAM FISHING VILLAGE"	11.74722222	79.78833333	2001.757									11.25	1000	5														
		"n"	"BANGLADESH"		"AKILPOOR, BANSBARIA"	22.4	91.8	2156.313									2.4		1														
		"n"	"INDIA"	"KERALA"	"VIZHINJAM (TRIVANDRUM)"	8.37638889	76.99222222	2161.729									2.5		4														
		"n"	"INDIA"	"KERALA"	"DHARMADAM (TELLICHERY)"	11.76916667	75.47222222	2433.76									2.5		4														
		"n"	"SEYCHELLES"		"ANSE PETITE COUR, PRASLIN ISLAND"	-4.31043333	55.73578333	4541.443									2.5	225	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"BAMBOO FLAT, PORT BLAIR"	11.70072222	92.71541667	989.787									3.8	18.4	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"HARBOUR AREA, HAVELOCK ISLAND"	12.03502778	92.98316667	1014.877									3.1	300	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"CHIDIYATOPU, PORT BLAIR"	11.49930556	92.71663889	968.93									3.2	500	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"SOUTH POINT MAGAR PAREL, PORT BLAIR"	11.65238889	92.70291667	985.273									10	500	5														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"NETAJI NAGAR, LITTLE ANDAMAN"	10.63344444	92.55172222	887.612									8	61.1	5														
		"n"	"AUSTRALIA"		"BUNDABERG"	-24.767	152.38	6848.494						27	17	50	0.1		2														
		"n"	"AUSTRALIA"		"CAPE FERGUSON"	-19.277	147.058	6133.984						28	0	14	0.04		2														
		"n"	"AUSTRALIA"		"PORT DOUGLAS"	-16.483333	145.466667	5878.561						28	13	30	0.07		2														
		"n"	"INDIA"	"MAHARASHTRA"	"JUHU BEACH"	19.0832	72.8251	3052.857									1.6		5														
		"n"	"NEW ZEALAND"		"KAPITI ISLAND"	-40.842	174.938	9335.751						27	21	30	0.23		2														
		"n"	"CHILE"	"VALPARAISO"	"SAN FELIX"	-26.283	-80.117	17427.101	27	1	57	24	58	27	7	34	0.05		2														
		"n"	"INDIA"	"ORISSA"	"PARADIP, ORISSA"	20.26	86.7	2121.497	26	3	27	2	28				1.59		2		"R"												
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.46	95.246	246.502									21.97		5														
		"n"	"MOZAMBIQUE"		"MOZAMBIQUE"	-15.05	40.75	6402.879											5														
		"n"	"THAILAND"		"TA POU NOI"	7.834	98.421	574.868									4.7		5														
		"n"	"AUSTRALIA"		"COCOS ISLAND (KEELING)"	-12.117	96.883	1710.49	26	3	17	2	18				0.3		2		"R"												
		"n"	"KENYA"		"LAMU"	-2.282	40.909	6144.981	26	9	52	8	53				0.5		2		"R"												
		"n"	"MALDIVES"		"KEYODHOO, VAAVU"	3.461	73.549	2478.665									2		5														
		"n"	"MALDIVES"		"KEYODHOO, VAAVU"	3.461	73.549	2478.665									2.7		5														
		"n"	"MALDIVES"		"GEMENDHOO, DHAALU"	2.798	73.026	2538.198									3.17		5														
		"n"	"MALDIVES"		"GAN, LAAMU"	1.942	73.54	2485.94									2.75		5														
		"n"	"SRI LANKA"		"KOGGALA AIRPORT"	5.992	80.319	1748.71									9.34		5														
		"n"	"SRI LANKA"		"GALLE PORT SOUTH BEACH"	6.034	80.237	1758.408									4.79		5														
		"n"	"SRI LANKA"		"GALLE CITY OFFICE"	6.034	80.215	1760.813									3.93		5														
		"n"	"SRI LANKA"		"KAHAWA"	6.165	80.09	1776.81									10.04		5														
		"n"	"SRI LANKA"		"MORATUWA BEACH"	6.755	79.89	1810.37									4.4		5														
		"n"	"SRI LANKA"		"MORATUWA BEACH"	6.756	79.89	1810.392									3.8		5														
		"n"	"SEYCHELLES"		"ALL OF SEYCHELLES"												4.4		5			2	1					31	4				3
		"n"	"MALAYSIA"		"SUNGAI KUALA, MELAKA RIVER"	6.201	99.718	534.317									4	1000	4			1	1										
		"n"	"INDIA"	"TAMIL NADU"	"VGP GOLDEN BEACH"	12.91111111	80.25527778	2018.43									3.2	100	5														
		"n"	"INDIA"	"TAMIL NADU"	"ONDIKUPPAM (KASIMEDU)"	13.15416667	80.30472222	2027.567									3.81	100	5														
		"n"	"INDIA"	"TAMIL NADU"	"PERUNTHURAVU"	12.3775	80.09194444	2004.761									4.59	50	5														
		"n"	"INDIA"	"TAMIL NADU"	"VELANGANNI"	10.67472222	79.84722222	1945.709									4.9	1500	5														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.449	95.242	245.455									24.35		4														
		"n"	"NEW ZEALAND"	"CANTERBURY"	"LYTTELTON"	-43.6058	172.7222	9211.487	27	1	59	25	0				0.48		2	54													
		"n"	"NEW ZEALAND"		"PORT NAPIER"	-39.4757	176.9201	9479.375	26	22	11	21	12				0.61		2	34													
		"n"	"NEW ZEALAND"	"BAY OF PLENTY"	"TAURANGA"	-37.6410885	176.1811791	9386.377	27	2	11	25	12				0.1		2	70													
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.549	95.311	254.175									5.98		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.55	95.31	254.309									6.47		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.304	254.789									6.76		4														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"CAR NICOBAR ISLAND, NICOBAR ISLANDS"	9.167	92.783	730.801											1														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.477	95.245	248.341									12.42		4														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.405	95.254	240.411									20.13		4														
		"n"	"INDONESIA"	"ACEH"	"SABANG, SUMATRA"	5.826	95.347	283.203									3.02		4														
		"n"	"USA TERRITORY"	"AS"	"PAGO PAGO, AMERICAN SAMOA"	-14.2766	-170.689	10480.383									0.01		2														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"SEVERO-KURILSK, PARAMUSHIR ISLAND"	50.68333	156.13	7668.226	27	13	30	36	31				0.15		2														
		"n"	"TONGA"		"NUKUALOFA (NUKU'ALOFA)"	-21.138	-175.1815	10040.921									0.05		2														
		"n"	"EL SALVADOR"	"SONSONATE"	"ACAJUTLA"	13.5739	-89.8383	18036.322	27	8	55	31	56				0.16		2														
		"n"	"ECUADOR"	"GALAPAGOS ISLANDS"	"BALTRA ISLAND"	-0.433	-90.283	19277.528	27	6	26	29	27				0.18		2														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.317	254.448									4.56		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.317	254.448									4.67		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.548	95.316	253.936									4.73		4														
