"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
		"n"	"MAURITIUS"		"SAINT-FRANCOIS, RODRIGUES"	-19.7026	63.4959	4359.65									1.16		5														
		"n"	"MAURITIUS"		"GRANDE BAIE, RODRIGUES"	-20.0005	57.5815	4913.91									1		5														
		"n"	"INDIA"	"KERALA"	"KOLLAM"	8.88	76.6	2217.402									4	1000	4														
		"n"	"YEMEN"		"ARHER QARIYAH"	12.64378	54.23122	4696.123									1.74	12	5														
		"n"	"YEMEN"		"BEDHOOLA"	12.32952	54.00735	4714.811									1.97	50.5	4														
		"n"	"YEMEN"		"MAHFARHAN"	12.40991	54.22666	4692.588									3.97	203.7	4														
		"n"	"YEMEN"		"MAHFARHAN"	12.40983	54.22685	4692.566									4.17	224	5										1	50	1		
		"n"	"INDIA"	"KERALA"	"ARATTUPUZHA, ALLAPUZHA"	10.43279	76.22622	2306.205											1			28	1										
		"n"	"THAILAND"		"THAI MUANG"	8.399	98.265	622.262									6.1	114	5														
		"n"	"THAILAND"		"BAN NOK NA"	8.999	98.257	682.389									12.6	136	5														
		"n"	"THAILAND"		"BAN PAK NAM"	9.951	98.596	793.878									1.2	0	5														
		"n"	"OMAN"		"SADAH"	17.04825	55.074817	4705.482									0.82	36	5														
		"n"	"OMAN"		"HASIK"	17.44945	55.270917	4696.378									1.04	4	5														
		"n"	"OMAN"		"DHALKUT"	16.703933	53.254117	4885.188									1.64		4														
		"n"	"OMAN"		"AL KABAH"	20.13718	57.81995	4526.128									1.5	72	5														
		"n"	"SOMALIA"		"XAAFUUN"	10.42168	51.26221	4985.654									5.67	230.6	5			179	3							812	3	400	3
		"n"	"SOMALIA"		"XAAFUUN"	10.42228	51.25936	4985.971									3.92	198	4														
		"n"	"INDONESIA"	"ACEH"	"PULAU BREUH, SUMATRA"	5.68139	95.06414	275.863									22.1	534.2	4														
		"n"	"INDONESIA"	"ACEH"	"JANTANG, SUMATRA"	5.27572	95.24976	226.849									18.1	476.3	4														
		"n"	"OMAN"		"RAS AL MADRAKAH"	18.97013	57.80364	4486.55									1.7	42	5														
		"n"	"OMAN"		"AL LABKI"	18.23859	56.56582	4587.522									2.3	447	5														
		"n"	"OMAN"		"SERBARAT"	17.93347	56.27334	4607.91									1.1	25	5														
		"n"	"SOMALIA"		"BANDARBEYLA"	9.49592	50.81331	5025.276									6.64	41.3	5														
		"n"	"SOMALIA"		"BANDARBEYLA"	9.49094	50.81599	5024.937									8.54	42.2	5														
		"n"	"SOMALIA"		"XAAFUUN"	10.42834	51.25541	4986.469									4.49	704	5														
		"n"	"SOMALIA"		"XAAFUUN-SPIT"	10.42494	51.19131	4993.414									4.87	305	5														
		"n"	"MADAGASCAR"		"AMDINGOZABE"	-15.06193	50.35913	5410.372									1.14	136	5														
		"n"	"MADAGASCAR"		"AMPAHANA"	-14.76483	50.22443	5413.891									2.53	50	5														
		"n"	"MADAGASCAR"		"SAMBAVA"	-14.2699	50.18163	5401.547									1.77	71	5														
		"n"	"MADAGASCAR"		"SAMBAVA"	-14.27062	50.18073	5401.664									1.91	30	5														
		"n"	"INDONESIA"	"ACEH"	"BUSUNG, SUMATRA"	2.38757	96.33693	115.856									3.1	82	5														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"TELUK BANDERA, SUMATRA"	-0.51108	98.32702	504.774									1	100	4														
		"n"	"INDONESIA"	"ACEH"	"KUALA MEURISI, SUMATRA"	4.62082	95.63249	146.368									12.9	1820	5														
		"n"	"ANTARCTICA"		"DAVIS STATION (AUSTRALIA)"	-68.57	77.97	8094.634	26	13	10	12	11				0.47		2		"R"												
		"n"	"MADAGASCAR"		"SOANIERANA-IVONGO"	-16.91903	49.58707	5555.058									2	46	5														
		"n"	"MADAGASCAR"		"MANAKARA BE"	-22.14718	48.02309	5914.979									3.5	34	5														
		"n"	"MADAGASCAR"		"MANAKARA BE"	-22.14344	48.02286	5914.844									1.5	21	4														
		"n"	"MADAGASCAR"		"MANAKARA BE"	-22.14631	48.02324	5914.928									3.8	58	5														
		"n"	"MADAGASCAR"		"MANAKARA NORTH"	-22.03352	48.07116	5905.613									2.1	25	5														
		"n"	"MALDIVES"		"MADIFUSHI, THAA"	2.3575	73.35568	2503.628									2.35	40	4														
