YYYY MM DD hh mm ss T HEIGHT
2004 01 02 15 30 00 1 3482.379
2004 01 02 15 45 00 1 3482.399
2004 01 02 16 00 00 1 3482.412
2004 01 02 16 15 00 1 3482.417
2004 01 02 16 30 00 1 3482.412
2004 01 02 16 45 00 1 3482.402
2004 01 02 17 00 00 1 3482.385
2004 01 02 17 15 00 1 3482.352
2004 01 02 17 30 00 1 3482.313
2004 01 02 17 45 00 1 3482.263
2004 01 02 18 00 00 1 3482.208
2004 01 02 18 15 00 1 3482.147
2004 01 02 18 30 00 1 3482.080
2004 01 02 18 45 00 1 3482.003
2004 01 02 19 00 00 1 3481.922
2004 01 02 19 15 00 1 3481.834
2004 01 02 19 30 00 1 3481.744
2004 01 02 19 45 00 1 3481.654
2004 01 02 20 00 00 1 3481.560
2004 01 02 20 15 00 1 3481.472
2004 01 02 20 30 00 1 3481.383
2004 01 02 20 45 00 1 3481.294
2004 01 02 21 00 00 1 3481.209
2004 01 02 21 15 00 1 3481.133
2004 01 02 21 30 00 1 3481.054
2004 01 02 21 45 00 1 3480.989
2004 01 02 22 00 00 1 3480.928
2004 01 02 22 15 00 1 3480.875
2004 01 02 22 30 00 1 3480.831
2004 01 02 22 45 00 1 3480.797
2004 01 02 23 00 00 1 3480.766
2004 01 02 23 15 00 1 3480.753
2004 01 02 23 30 00 1 3480.746
2004 01 02 23 45 00 1 3480.745
2004 01 03 00 00 00 1 3480.755
2004 01 03 00 15 00 1 3480.774
2004 01 03 00 30 00 1 3480.799
2004 01 03 00 45 00 1 3480.831
2004 01 03 01 00 00 1 3480.871
2004 01 03 01 15 00 1 3480.915
2004 01 03 01 30 00 1 3480.965
2004 01 03 01 45 00 1 3481.023
2004 01 03 02 00 00 1 3481.081
2004 01 03 02 15 00 1 3481.141
2004 01 03 02 30 00 1 3481.205
2004 01 03 02 45 00 1 3481.268
2004 01 03 03 00 00 1 3481.328
2004 01 03 03 15 00 1 3481.392
2004 01 03 03 30 00 1 3481.455
2004 01 03 03 45 00 1 3481.514
2004 01 03 04 00 00 1 3481.567
2004 01 03 04 15 00 1 3481.617
2004 01 03 04 30 00 1 3481.662
2004 01 03 04 45 00 1 3481.705
2004 01 03 05 00 00 1 3481.741
2004 01 03 05 15 00 1 3481.770
2004 01 03 05 30 00 1 3481.795
2004 01 03 05 45 00 1 3481.812
2004 01 03 06 00 00 1 3481.821
2004 01 03 06 15 00 1 3481.822
2004 01 03 06 30 00 1 3481.822
2004 01 03 06 45 00 1 3481.816
2004 01 03 07 00 00 1 3481.805
2004 01 03 07 15 00 1 3481.789
2004 01 03 07 30 00 1 3481.769
2004 01 03 07 45 00 1 3481.743
2004 01 03 08 00 00 1 3481.718
2004 01 03 08 15 00 1 3481.690
2004 01 03 08 30 00 1 3481.660
2004 01 03 08 45 00 1 3481.628
2004 01 03 09 00 00 1 3481.601
2004 01 03 09 15 00 1 3481.578
2004 01 03 09 30 00 1 3481.555
2004 01 03 09 45 00 1 3481.534
2004 01 03 10 00 00 1 3481.520
2004 01 03 10 15 00 1 3481.510
2004 01 03 10 30 00 1 3481.505
2004 01 03 10 45 00 1 3481.506
2004 01 03 11 00 00 1 3481.513
2004 01 03 11 15 00 1 3481.525
2004 01 03 11 30 00 1 3481.543
2004 01 03 11 45 00 1 3481.567
2004 01 03 12 00 00 1 3481.599
2004 01 03 12 15 00 1 3481.633
2004 01 03 12 30 00 1 3481.678
2004 01 03 12 45 00 1 3481.725
2004 01 03 13 00 00 1 3481.775
2004 01 03 13 15 00 1 3481.824
2004 01 03 13 30 00 1 3481.882
2004 01 03 13 45 00 1 3481.940
2004 01 03 14 00 00 1 3481.999
2004 01 03 14 15 00 1 3482.056
2004 01 03 14 30 00 1 3482.115
2004 01 03 14 45 00 1 3482.169
2004 01 03 15 00 00 1 3482.222
2004 01 03 15 15 00 1 3482.270
2004 01 03 15 30 00 1 3482.315
2004 01 03 15 45 00 1 3482.350
2004 01 03 16 00 00 1 3482.382
2004 01 03 16 15 00 1 3482.406
2004 01 03 16 30 00 1 3482.424
2004 01 03 16 45 00 1 3482.436
2004 01 03 17 00 00 1 3482.442
2004 01 03 17 15 00 1 3482.436
2004 01 03 17 30 00 1 3482.420
2004 01 03 17 45 00 1 3482.395
2004 01 03 18 00 00 1 3482.361
2004 01 03 18 15 00 1 3482.314
2004 01 03 18 30 00 1 3482.260
2004 01 03 18 45 00 1 3482.200
2004 01 03 19 00 00 1 3482.130
2004 01 03 19 15 00 1 3482.051
2004 01 03 19 30 00 1 3481.967
2004 01 03 19 45 00 1 3481.880
2004 01 03 20 00 00 1 3481.785
2004 01 03 20 15 00 1 3481.688
2004 01 03 20 30 00 1 3481.589
2004 01 03 20 45 00 1 3481.490
2004 01 03 21 00 00 1 3481.388
2004 01 03 21 15 00 1 3481.289
2004 01 03 21 30 00 1 3481.197
2004 01 03 21 45 00 1 3481.104
2004 01 03 22 00 00 1 3481.018
2004 01 03 22 15 00 1 3480.939
2004 01 03 22 30 00 1 3480.868
2004 01 03 22 45 00 1 3480.803
2004 01 03 23 00 00 1 3480.746
2004 01 03 23 15 00 1 3480.698
2004 01 03 23 30 00 1 3480.659
2004 01 03 23 45 00 1 3480.629
2004 01 04 00 00 00 1 3480.611
2004 01 04 00 15 00 1 3480.602
2004 01 04 00 30 00 1 3480.605
2004 01 04 00 45 00 1 3480.616
2004 01 04 01 00 00 1 3480.637
2004 01 04 01 15 00 1 3480.667
2004 01 04 01 30 00 1 3480.705
2004 01 04 01 45 00 1 3480.752
2004 01 04 02 00 00 1 3480.802
2004 01 04 02 15 00 1 3480.864
2004 01 04 02 30 00 1 3480.926
2004 01 04 02 45 00 1 3480.994
2004 01 04 03 00 00 1 3481.061
2004 01 04 03 15 00 1 3481.135
2004 01 04 03 30 00 1 3481.208
2004 01 04 03 45 00 1 3481.281
2004 01 04 04 00 00 1 3481.354
2004 01 04 04 15 00 1 3481.425
2004 01 04 04 30 00 1 3481.498
2004 01 04 04 45 00 1 3481.565
2004 01 04 05 00 00 1 3481.625
2004 01 04 05 15 00 1 3481.682
2004 01 04 05 30 00 1 3481.732
2004 01 04 05 45 00 1 3481.776
2004 01 04 06 00 00 1 3481.813
2004 01 04 06 15 00 1 3481.843
2004 01 04 06 30 00 1 3481.868
2004 01 04 06 45 00 1 3481.884
2004 01 04 07 00 00 1 3481.891
2004 01 04 07 15 00 1 3481.893
2004 01 04 07 30 00 1 3481.887
2004 01 04 07 45 00 1 3481.876
2004 01 04 08 00 00 1 3481.857
2004 01 04 08 15 00 1 3481.835
2004 01 04 08 30 00 1 3481.813
2004 01 04 08 45 00 1 3481.787
2004 01 04 09 00 00 1 3481.755
2004 01 04 09 15 00 1 3481.729
2004 01 04 09 30 00 1 3481.700
2004 01 04 09 45 00 1 3481.670
2004 01 04 10 00 00 1 3481.641
2004 01 04 10 15 00 1 3481.616
2004 01 04 10 30 00 1 3481.597
2004 01 04 10 45 00 1 3481.580
2004 01 04 11 00 00 1 3481.566
2004 01 04 11 15 00 1 3481.559
2004 01 04 11 30 00 1 3481.556
2004 01 04 11 45 00 1 3481.562
2004 01 04 12 00 00 1 3481.572
2004 01 04 12 15 00 1 3481.586
2004 01 04 12 30 00 1 3481.607
2004 01 04 12 45 00 1 3481.636
2004 01 04 13 00 00 1 3481.670
2004 01 04 13 15 00 1 3481.714
2004 01 04 13 30 00 1 3481.760
2004 01 04 13 45 00 1 3481.809
2004 01 04 14 00 00 1 3481.864
2004 01 04 14 15 00 1 3481.920
2004 01 04 14 30 00 1 3481.980
2004 01 04 14 45 00 1 3482.038
2004 01 04 15 00 00 1 3482.096
2004 01 04 15 15 00 1 3482.153
2004 01 04 15 30 00 1 3482.211
2004 01 04 15 45 00 1 3482.263
2004 01 04 16 00 00 1 3482.314
2004 01 04 16 15 00 1 3482.358
2004 01 04 16 30 00 1 3482.395
2004 01 04 16 45 00 1 3482.428
2004 01 04 17 00 00 1 3482.453
2004 01 04 17 15 00 1 3482.472
2004 01 04 17 30 00 1 3482.478
2004 01 04 17 45 00 1 3482.478
2004 01 04 18 00 00 1 3482.464
2004 01 04 18 15 00 1 3482.443
2004 01 04 18 30 00 1 3482.412
2004 01 04 18 45 00 1 3482.373
2004 01 04 19 00 00 1 3482.321
2004 01 04 19 15 00 1 3482.257
2004 01 04 19 30 00 1 3482.187
2004 01 04 19 45 00 1 3482.109
2004 01 04 20 00 00 1 3482.021
2004 01 04 20 15 00 1 3481.928
2004 01 04 20 30 00 1 3481.827
2004 01 04 20 45 00 1 3481.725
2004 01 04 21 00 00 1 3481.619
2004 01 04 21 15 00 1 3481.510
2004 01 04 21 30 00 1 3481.405
2004 01 04 21 45 00 1 3481.300
2004 01 04 22 00 00 1 3481.197
2004 01 04 22 15 00 1 3481.096
2004 01 04 22 30 00 1 3481.000
2004 01 04 22 45 00 1 3480.910
2004 01 04 23 00 00 1 3480.825
2004 01 04 23 15 00 1 3480.745
2004 01 04 23 30 00 1 3480.677
2004 01 04 23 45 00 1 3480.620
2004 01 05 00 00 00 1 3480.572
2004 01 05 00 15 00 1 3480.533
2004 01 05 00 30 00 1 3480.505
2004 01 05 00 45 00 1 3480.490
2004 01 05 01 00 00 1 3480.482
2004 01 05 01 15 00 1 3480.487
2004 01 05 01 30 00 1 3480.503
2004 01 05 01 45 00 1 3480.530
2004 01 05 02 00 00 1 3480.565
2004 01 05 02 15 00 1 3480.613
2004 01 05 02 30 00 1 3480.663
2004 01 05 02 45 00 1 3480.724
2004 01 05 03 00 00 1 3480.792
2004 01 05 03 15 00 1 3480.862
2004 01 05 03 30 00 1 3480.941
2004 01 05 03 45 00 1 3481.022
2004 01 05 04 00 00 1 3481.104
2004 01 05 04 15 00 1 3481.188
2004 01 05 04 30 00 1 3481.275
2004 01 05 04 45 00 1 3481.361
2004 01 05 05 00 00 1 3481.441
2004 01 05 05 15 00 1 3481.523
2004 01 05 05 30 00 1 3481.600
2004 01 05 05 45 00 1 3481.670
2004 01 05 06 00 00 1 3481.737
2004 01 05 06 15 00 1 3481.795
2004 01 05 06 30 00 1 3481.844
2004 01 05 06 45 00 1 3481.885
2004 01 05 07 00 00 1 3481.920
2004 01 05 07 15 00 1 3481.948
2004 01 05 07 30 00 1 3481.967
2004 01 05 07 45 00 1 3481.975
2004 01 05 08 00 00 1 3481.975
2004 01 05 08 15 00 1 3481.969
2004 01 05 08 30 00 1 3481.956
2004 01 05 08 45 00 1 3481.942
2004 01 05 09 00 00 1 3481.917
2004 01 05 09 15 00 1 3481.894
2004 01 05 09 30 00 1 3481.863
2004 01 05 09 45 00 1 3481.828
2004 01 05 10 00 00 1 3481.794
2004 01 05 10 15 00 1 3481.763
2004 01 05 10 30 00 1 3481.729
2004 01 05 10 45 00 1 3481.701
2004 01 05 11 00 00 1 3481.671
2004 01 05 11 15 00 1 3481.648
2004 01 05 11 30 00 1 3481.626
2004 01 05 11 45 00 1 3481.611
2004 01 05 12 00 00 1 3481.602
2004 01 05 12 15 00 1 3481.595
2004 01 05 12 30 00 1 3481.594
2004 01 05 12 45 00 1 3481.600
2004 01 05 13 00 00 1 3481.616
2004 01 05 13 15 00 1 3481.640
2004 01 05 13 30 00 1 3481.668
2004 01 05 13 45 00 1 3481.707
2004 01 05 14 00 00 1 3481.748
2004 01 05 14 15 00 1 3481.795
2004 01 05 14 30 00 1 3481.848
2004 01 05 14 45 00 1 3481.902
2004 01 05 15 00 00 1 3481.961
2004 01 05 15 15 00 1 3482.019
2004 01 05 15 30 00 1 3482.082
2004 01 05 15 45 00 1 3482.144
2004 01 05 16 00 00 1 3482.203
2004 01 05 16 15 00 1 3482.261
2004 01 05 16 30 00 1 3482.312
2004 01 05 16 45 00 1 3482.363
2004 01 05 17 00 00 1 3482.405
2004 01 05 17 15 00 1 3482.444
2004 01 05 17 30 00 1 3482.477
2004 01 05 17 45 00 1 3482.499
2004 01 05 18 00 00 1 3482.512
2004 01 05 18 15 00 1 3482.511
2004 01 05 18 30 00 1 3482.504
2004 01 05 18 45 00 1 3482.492
2004 01 05 19 00 00 1 3482.462
2004 01 05 19 15 00 1 3482.424
2004 01 05 19 30 00 1 3482.372
2004 01 05 19 45 00 1 3482.314
2004 01 05 20 00 00 1 3482.241
2004 01 05 20 15 00 1 3482.159
2004 01 05 20 30 00 1 3482.071
2004 01 05 20 45 00 1 3481.976
2004 01 05 21 00 00 1 3481.873
