#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
GR|I26H6|48.847854|13.710707|1090.4|BGR Station Infrasound Array CTBTO IS26, Germany|2009-10-28T00:00:00|
GR|I26H7|48.846178|13.713941|1098.5|BGR Station Infrasound Array CTBTO IS26, Germany|2009-10-28T00:00:00|
GR|I26H8|48.844365|13.712018|1073.6|BGR Station Infrasound Array CTBTO IS26, Germany|2009-10-28T00:00:00|
GR|I27L1|-70.7011083|-8.3028972|59.0|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|I27L2|-70.6998667|-8.3045444|55.5|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|I27L3|-70.7030528|-8.3084722|53.4|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|I27L4|-70.7024583|-8.2914361|56.1|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|I27L5|-70.6957556|-8.3040139|57.3|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|I27L6|-70.7042|-8.321|52.5|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|I27L7|-70.706175|-8.2839722|53.4|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|I27L8|-70.6920694|-8.2952944|62.4|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|I27L9|-70.7025944|-8.3351472|52.9|BGR Station Infrasound Array CTBTO IS27, Antarctica|2003-01-29T00:00:00|
GR|IGAD|53.2576|8.6904|43.0|GRSN Station Garlstedt|2003-07-01T00:00:00|
GR|IGAH1|53.2579|8.689|40.0|BGR Station Infrasound Array Garlstedt, Germany|2003-02-01T00:00:00|
GR|IGAH2|53.2596|8.6963|38.0|BGR Station Infrasound Array Garlstedt, Germany|2003-02-01T00:00:00|
GR|IGAH3|53.2601|8.6843|31.0|BGR Station Infrasound Array Garlstedt, Germany|2003-02-01T00:00:00|
GR|IGAH4|53.2534|8.6898|40.0|BGR Station Infrasound Array Garlstedt, Germany|2003-02-01T00:00:00|
GR|IKUH1|54.11558|11.76327|120.0|BGR Station Infrasound Array Kuehlungsborn|2021-07-12T00:00:00|
GR|IKUH2|54.11977|11.75787|120.0|BGR Station Infrasound Array Kuehlungsborn|2021-07-12T00:00:00|
GR|IKUH3|54.1155|11.77102|120.0|BGR Station Infrasound Array Kuehlungsborn|2021-07-12T00:00:00|
GR|IKUH4|54.11002|11.75868|120.0|BGR Station Infrasound Array Kuehlungsborn|2021-07-12T00:00:00|
GR|IKUHM|54.11558|11.76327|120.0|BGR Station Infrasound Array Kuehlungsborn Met|2021-07-12T00:00:00|
GR|INS1|49.148252|8.0462|196.0|BGR Station Heuchelheim BoxerKlub, Germany|2012-11-19T16:10:00|
GR|INS2|49.1201|8.1337|134.0|BGR Station Steinweiler, Germany|2012-08-15T03:20:00|2014-12-08T15:20:00
GR|INS3|49.09657|8.08207|140.0|BGR Station Hergersweiler, Germany|2012-09-18T12:30:00|
GR|INS4|49.19458|8.11087|146.0|BGR Station Landau, Germany|2012-09-19T20:50:00|2015-02-13T00:00:00
GR|INS4B|49.19284|8.1115|145.0|BGR Station Landau, Germany|2014-12-09T09:50:00|
GR|INS5|49.129|8.20341|128.0|BGR Station Hayna, Turnverein, Germany|2012-09-25T22:00:00|
